frame.number,frame.time_epoch,ip.src,ip.dst,ipv6.src,ipv6.dst,ip.proto,ipv6.nxt,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,frame.len
40170,1787931522.250594900,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40171,1787931522.250815900,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40172,1787931522.252678600,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40173,1787931522.257092000,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40174,1787931522.266095400,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40175,1787931522.266412900,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40176,1787931522.266924700,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40177,1787931522.268642900,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40178,1787931522.268997700,,,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,2405:200:1630:b0d::c,,17,,,58652,443,94
40179,1787931522.269223700,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40180,1787931522.271227500,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40181,1787931522.272523600,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40182,1787931522.275990100,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40183,1787931522.275992300,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40184,1787931522.275993500,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40185,1787931522.278101800,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40186,1787931522.280473000,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40187,1787931522.281191600,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40188,1787931522.281193400,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40189,1787931522.281504400,,,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,2405:200:1630:b0d::c,,17,,,58652,443,94
40190,1787931522.283155800,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40191,1787931522.285449500,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40192,1787931522.285451100,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40193,1787931522.285892200,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40194,1787931522.291100900,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40195,1787931522.291102800,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40196,1787931522.306420900,,,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,2405:200:1630:b0d::c,,17,,,58652,443,95
